name,food,score,link
堂妈教你做红汤羊蝎子火锅,主料：羊蝎子、洋葱、香菜、郫县豆瓣酱、红豆腐乳、红糖，红辣椒、配料包：（1）小茴香、花椒、麻椒、孜然、白胡椒粒（2）香叶、桂皮、八角、草果、白芷、肉蔻、干辣椒、调料：食盐、老抽、料酒、鸡精,9.0,http://www.xiachufang.com/recipe/102183511/
西湖牛肉羹,牛肉、嫩豆腐、香菇、姜、香菜、淀粉、蛋白、白胡椒粉、料酒、盐、香油,0,http://www.xiachufang.com/recipe/104594033/
萝卜肉汤,小萝卜、肉馅、香葱、盐、白胡椒粉、土豆淀粉、生抽,7.6,http://www.xiachufang.com/recipe/104177084/
鲜香【玉米胡萝卜猪骨汤】（普通汤锅也可以）,猪骨、玉米、胡萝卜、姜、葱、醋、盐、蒜,0,http://www.xiachufang.com/recipe/104557281/
白玉菇丝瓜炒鸡蛋,白玉菇、鸡蛋、丝瓜、葱、姜、盐、鸡粉,11,http://www.xiachufang.com/recipe/104089953/
丝瓜肉片汤,丝瓜、瘦肉、蒜末、辣椒、香葱,7.6,http://www.xiachufang.com/recipe/103965160/
吃一次会上瘾的酸汤水饺,水饺、香葱花、料汁调法:🔺🔺🔺🔺、生抽、米醋、鸡粉、耗油、蒜末、熟芝麻、辣椒粉、煮饺子的汤,16,http://www.xiachufang.com/recipe/104217643/
强力有效的祛湿汤,赤小豆、薏米、陈皮、莲子、茯苓、茨实、白扁豆、淮山、瘦肉,0,http://www.xiachufang.com/recipe/104430533/
酸爽到不敢想象的浇汤肥牛面,肥牛、金针菇、绿豆芽、绿叶菜、鸡蛋、蒜、小葱、蚝油、生抽、凉拌醋（老陈醋）、盐、鸡精、辣椒面、食用油、热开水、面条,7.9,http://www.xiachufang.com/recipe/104090770/
无限回味——酸汤肥牛,肥牛卷、金针菇、西红柿、蒜、姜、盐、小青椒，小红椒、白糖、白醋、生抽、老抽、耗油,0,http://www.xiachufang.com/recipe/104587816/
绿豆汤,绿豆+水、冰糖,8.6,http://www.xiachufang.com/recipe/1045525/
韩式牛肉大酱汤,淘米水、韩式生大酱、韩式包饭酱、豆腐、西葫芦、土豆、香菇、牛肉、洋葱、二筋条、小米辣、辣椒粉、蒜末,0,http://www.xiachufang.com/recipe/104587619/
日瘦一斤的减脂瘦身汤,番茄、嫩豆腐、小葱、油、蚝油、生抽、盐、鸡精,7.9,http://www.xiachufang.com/recipe/104061711/
超惊艳奶油蘑菇汤(牛奶版本),口蘑、牛奶、洋葱碎、面粉、黄油、盐、虾仁、胡椒,7.8,http://www.xiachufang.com/recipe/104167362/
🍅番茄疙瘩汤（附疙瘩不成坨方法）,西红柿、鸡蛋、调味料、蒜苗、面粉、水,11,http://www.xiachufang.com/recipe/104504561/
三白汤（美白祛斑）内调,白术、白芍、白茯苓、甘草、清水,3,http://www.xiachufang.com/recipe/104542812/
超好喝的鸡蛋汤😋,西红柿、鸡蛋、黄瓜、香菜、盐、生抽、香油,0,http://www.xiachufang.com/recipe/104594490/
秋季必喝的养生粥❗养胃补气血。,小米、贝贝瓜、红枣,7,http://www.xiachufang.com/recipe/104111548/
专治春困乏力汤‼️脾虚湿泄‼️芡实薏米水鸭汤,水鸭、炒薏米、新鲜芡实、莲子、陈皮、姜片,0,http://www.xiachufang.com/recipe/104465514/
泰国冬阴功汤～最正点版本有红有辣👏🏻,香茅,0,http://www.xiachufang.com/recipe/104569294/
神奇木瓜魚奶濃湯,熟木瓜、牛奶/豆奶、魚、蜜棗、鹽、姜、糊椒粉、料酒、姜粉（自選）、南北杏,3,http://www.xiachufang.com/recipe/104579030/
简单零失败，补血益气养身椰子乌鸡汤,乌鸡、椰子、红萝卜、铁棍山药、红枣、姜、料酒、盐、葱花,0,http://www.xiachufang.com/recipe/104571777/
月经期养生汤-告别痛经！,红枣、红糖、土鸡蛋、当归、党参、藏红花,7,http://www.xiachufang.com/recipe/103868989/
自己做馄饨皮、云吞皮,面粉、食用纯碱、鸡蛋、水、生粉,8.7,http://www.xiachufang.com/recipe/100413521/
假装在西餐厅的奶油蘑菇汤,蘑菇、黄皮白洋葱、培根、黄油、面粉、清水、牛奶、盐、白胡椒、黑胡椒,8.5,http://www.xiachufang.com/recipe/104374694/
【喝汤减脂3】鲜掉眉毛的鲜蔬汤,鸡蛋、香菇、胡萝卜、菠菜,1,http://www.xiachufang.com/recipe/104464006/
熬夜救星黄芪炖鸡,老母鸡、黄芪、党参、红枣片、枸杞子、洋参、生姜、香菇,6,http://www.xiachufang.com/recipe/104112660/
电饭煲做【一颗白菜汤】鲜甜鲜甜夏季不开火,娃娃菜、毛豆、紫菜、虾皮、盐,8,http://www.xiachufang.com/recipe/103968456/
鲜美的素萝卜丝汤,白萝卜、鸡蛋、葱、盐、姜、清水、鸡精,11,http://www.xiachufang.com/recipe/104425038/
女人补气血（经期必备汤）,红糖、枸杞、红枣、红豆、红皮花生、鸡蛋、核桃、姜片,0,http://www.xiachufang.com/recipe/104446498/
龙利鱼番茄嫩豆腐汤,西红柿、龙利鱼、嫩豆腐、油菜、豆皮、盐、耗油、麻花花,0,http://www.xiachufang.com/recipe/104589953/
超浓郁罗宋汤！,牛腩、黄油、土豆、西红柿、洋葱、胡萝卜、冰糖、盐、香叶、番茄罐头、番茄酱、番茄膏、卷心菜,0,http://www.xiachufang.com/recipe/104566935/
上汤娃娃菜,娃娃菜（小点的、熟咸鸭蛋、火腿肠、皮蛋、水、盐、葱花、食用油,7.9,http://www.xiachufang.com/recipe/100436949/
山药瘦肉汤,山药、枸杞、瘦肉、葱、盐、芝麻油、鸡精、耗油,4,http://www.xiachufang.com/recipe/104207450/
备孕-补肾板栗鸡汤,板栗、红枣、枸杞、清远走地鸡,4,http://www.xiachufang.com/recipe/104052032/
小白都能一次成功的美味水煮萝卜丝,白萝卜、火腿肠、大蒜、生姜、小葱、干花椒、干辣椒、食用油、盐、鸡精或鸡粉,8.2,http://www.xiachufang.com/recipe/104090695/
四神汤—（健脾胃系列）,茯苓、芡实（或薏仁）、莲子、淮山、陈皮、瘦肉（或猪肚）、水,0,http://www.xiachufang.com/recipe/104585031/
全家福菜(杂烩汤）,虾、肉圆、蛋饺、青菜、鹌鹑蛋、肉皮、木耳,10,http://www.xiachufang.com/recipe/104143547/
带娃炖汤两不误，米博生活小助手,用料排骨500g萝卜1根香菇2颗姜丝10g香菜30g步骤1备好所有食材，按照国际惯例，排骨一定要切块焯水，这个米博有自动模式，8分钟焯水，又干净又快,0,http://www.xiachufang.com/recipe/104600475/
胶质满满的银耳红枣羹,银耳、红枣、单晶冰糖、枸杞、桂圆,0,http://www.xiachufang.com/recipe/104600468/
冬瓜鲜百合汤（无油无盐素食）,百合、冬瓜,0,http://www.xiachufang.com/recipe/104600454/
懒人版丸子胡萝卜汤,胡萝卜、盐、猪肉，鸡肉，虾滑、蚝油，鱼露，姜粉、浓汤宝,0,http://www.xiachufang.com/recipe/104600443/
西式营养汤，米博来帮忙,牛肉350g西红柿1个土豆1个椰菜150g胡萝卜1根芹菜50g番茄酱40g盐3g糖1勺橄榄油10g芝士片2片,0,http://www.xiachufang.com/recipe/104600436/
